"","Query","Target","Percent_ID","Ali_len","E_val","bitscore","Hit_name_long"
"1","repo","phaw_30_tra_m.018601",91.53,59,9e-29,120,"phaw_30_tra_m.018601"
"2","repo","phaw_30_tra_m.000105",50.41,121,3e-25,110,"phaw_30_tra_m.000105"
"3","repo","phaw_30_tra_m.021508",69.23,65,6e-25,108,"phaw_30_tra_m.021508"
"4","repo","phaw_30_tra_m.007593",72.88,59,6e-25,108,"phaw_30_tra_m.007593"
"5","repo","phaw_30_aug_m.027657",68.85,61,3e-23,97.8,"phaw_30_aug_m.027657"
"6","repo","phaw_30_tra_m.014162",54.44,90,7e-23,101,"phaw_30_tra_m.014162"
"7","repo","phaw_30_tra_m.016662",57.53,73,2e-22,96.7,"phaw_30_tra_m.016662"
"8","repo","phaw_30_aug_m.027522",67.21,61,2e-22,98.6,"phaw_30_aug_m.027522"
"9","repo","phaw_30_tra_m.021711",67.21,61,4e-22,100,"phaw_30_tra_m.021711"
"10","repo","phaw_30_tra_m.000227",57.33,75,5e-22,99.8,"phaw_30_tra_m.000227"
"11","repo","phaw_30_tra_m.017719",62.5,64,5e-22,99.8,"phaw_30_tra_m.017719"
"12","repo","phaw_30_tra_m.018078",66.67,60,8e-21,94.4,"phaw_30_tra_m.018078"
"13","repo","phaw_30_tra_m.006177",60,65,2e-20,95.1,"phaw_30_tra_m.006177"
"14","repo","phaw_30_tra_m.016118",34.55,165,6e-20,89.4,"phaw_30_tra_m.016118"
"15","repo","phaw_30_tra_m.015304",41.07,112,1e-19,90.1,"phaw_30_tra_m.015304"
"16","repo","phaw_30_tra_m.009739",72,50,2e-19,85.9,"phaw_30_tra_m.009739"
"17","repo","phaw_30_tra_m.014549",62.3,61,5e-19,89.4,"phaw_30_tra_m.014549"
"18","repo","phaw_30_tra_m.012655",40.29,139,1e-18,89.4,"phaw_30_tra_m.012655"
"19","repo","phaw_30_tra_m.005832",60.71,56,6e-18,83.6,"phaw_30_tra_m.005832"
"20","repo","phaw_30_aug_m.028112",56.14,57,2e-17,80.1,"phaw_30_aug_m.028112"
"21","repo","phaw_30_tra_m.019980",47.37,76,7e-17,80.1,"phaw_30_tra_m.019980"
"22","repo","phaw_30_tra_m.007609",50,80,1e-16,84,"phaw_30_tra_m.007609"
"23","repo","phaw_30_tra_m.024694",44.09,93,1e-16,80.5,"phaw_30_tra_m.024694"
"24","repo","phaw_30_tra_m.018089",55.93,59,1e-13,73.2,"phaw_30_tra_m.018089"
"25","repo","phaw_30_tra_m.019965",45.21,73,3e-13,71.6,"phaw_30_tra_m.019965"
"26","repo","phaw_30_tra_m.001246",40.48,84,4e-13,71.6,"phaw_30_tra_m.001246"
"27","repo","phaw_30_tra_m.020042",37.5,88,9e-13,70.5,"phaw_30_tra_m.020042"
"28","repo","phaw_30_tra_m.004993",48.96,96,1e-12,70.9,"phaw_30_tra_m.004993"
"29","repo","phaw_30_tra_m.026640",42.86,70,4e-12,68.6,"phaw_30_tra_m.026640"
"30","repo","phaw_30_tra_m.003796",52.54,59,6e-12,67.8,"phaw_30_tra_m.003796"
"31","repo","phaw_30_tra_m.005408",46.77,62,7e-12,67.8,"phaw_30_tra_m.005408"
"32","repo","phaw_30_aug_m.027586",59.57,47,9e-12,62.8,"phaw_30_aug_m.027586"
"33","repo","phaw_30_tra_m.015708",55.93,59,1e-11,66.6,"phaw_30_tra_m.015708"
"34","repo","phaw_30_tra_m.002006",38.37,86,1e-11,65.1,"phaw_30_tra_m.002006"
"35","repo","phaw_30_tra_m.020041",42.62,61,2e-11,65.9,"phaw_30_tra_m.020041"
"36","repo","phaw_30_tra_m.020471",40.32,62,3e-11,65.1,"phaw_30_tra_m.020471"
"37","repo","phaw_30_tra_m.023242",38.1,84,3e-11,65.5,"phaw_30_tra_m.023242"
"38","repo","phaw_30_aug_m.027612",54,50,3e-11,62.4,"phaw_30_aug_m.027612"
"39","repo","phaw_30_tra_m.023028",45.9,61,4e-11,65.1,"phaw_30_tra_m.023028"
"40","repo","phaw_30_aug_m.027926",45.59,68,5e-11,60.5,"phaw_30_aug_m.027926"
"41","repo","phaw_30_tra_m.018171",49.18,61,5e-11,64.7,"phaw_30_tra_m.018171"
"42","repo","phaw_30_tra_m.002614",47.37,57,1e-10,60.8,"phaw_30_tra_m.002614"
"43","repo","phaw_30_tra_m.004495",49.15,59,2e-10,63.2,"phaw_30_tra_m.004495"
"44","repo","phaw_30_tra_m.012676",50.85,59,3e-10,63.2,"phaw_30_tra_m.012676"
"45","repo","phaw_30_aug_m.027475",56.25,48,3e-10,58.2,"phaw_30_aug_m.027475"
"46","repo","phaw_30_tra_m.011587",37,100,6e-10,61.2,"phaw_30_tra_m.011587"
"47","repo","phaw_30_aug_m.026832",45.61,57,7e-10,60.8,"phaw_30_aug_m.026832"
"48","repo","phaw_30_tra_m.004428",42.62,61,9e-10,60.1,"phaw_30_tra_m.004428"
"49","repo","phaw_30_tra_m.018778",43.75,64,1e-09,60.8,"phaw_30_tra_m.018778"
"50","repo","phaw_30_tra_m.020753",42.86,77,3e-09,59.3,"phaw_30_tra_m.020753"
"51","repo","phaw_30_tra_m.004416",41.79,67,4e-09,56.2,"phaw_30_tra_m.004416"
"52","repo","phaw_30_tra_m.021487",49.15,59,5e-09,58.2,"phaw_30_tra_m.021487"
"53","repo","phaw_30_tra_m.021966",42.86,63,7e-09,57.4,"phaw_30_tra_m.021966"
"54","repo","phaw_30_tra_m.001685",38.75,80,8e-09,58.2,"phaw_30_tra_m.001685"
"55","repo","phaw_30_tra_m.004304",40,60,8e-09,58.2,"phaw_30_tra_m.004304"
"56","repo","phaw_30_tra_m.019606",44.07,59,1e-08,57,"phaw_30_tra_m.019606"
"57","repo","phaw_30_tra_m.010963",42.03,69,2e-08,56.6,"phaw_30_tra_m.010963"
"58","repo","phaw_30_tra_m.014042",41.79,67,2e-08,56.6,"phaw_30_tra_m.014042"
"59","repo","phaw_30_tra_m.000502",33.86,127,2e-08,56.2,"phaw_30_tra_m.000502"
"60","repo","phaw_30_tra_m.015491",43.94,66,3e-08,56.2,"phaw_30_tra_m.015491"
"61","repo","phaw_30_tra_m.013007",34.12,85,3e-08,56.2,"phaw_30_tra_m.013007"
"62","repo","phaw_30_aug_m.028366",29.55,132,3e-08,53.1,"phaw_30_aug_m.028366"
"63","repo","phaw_30_tra_m.023650",45.76,59,4e-08,55.5,"phaw_30_tra_m.023650"
"64","repo","phaw_30_tra_m.024538",37.5,80,5e-08,55.8,"phaw_30_tra_m.024538"
"65","repo","phaw_30_tra_m.018587",45.9,61,5e-08,55.1,"phaw_30_tra_m.018587"
"66","repo","phaw_30_tra_m.024253",45.76,59,7e-08,54.7,"phaw_30_tra_m.024253"
"67","repo","phaw_30_tra_m.001034",40,60,7e-08,52.8,"phaw_30_tra_m.001034"
"68","repo","phaw_30_tra_m.011711",45.28,53,9e-08,54.7,"phaw_30_tra_m.011711"
"69","repo","phaw_30_tra_m.013058",46.55,58,1e-07,52.4,"phaw_30_tra_m.013058"
"70","repo","phaw_30_aug_m.027861",45.45,55,1e-07,51.2,"phaw_30_aug_m.027861"
"71","repo","phaw_30_aug_m.027765",45.76,59,1e-07,52.4,"phaw_30_aug_m.027765"
"72","repo","phaw_30_tra_m.019412",40.98,61,2e-07,53.5,"phaw_30_tra_m.019412"
"73","repo","phaw_30_tra_m.019611",42.37,59,2e-07,53.5,"phaw_30_tra_m.019611"
"74","repo","phaw_30_tra_m.012068",43.55,62,3e-07,53.1,"phaw_30_tra_m.012068"
"75","repo","phaw_30_tra_m.000879",39.34,61,3e-07,53.1,"phaw_30_tra_m.000879"
"76","repo","phaw_30_tra_m.002455",33.01,103,4e-07,50.8,"phaw_30_tra_m.002455"
"77","repo","phaw_30_tra_m.000369",36.46,96,4e-07,53.1,"phaw_30_tra_m.000369"
"78","repo","phaw_30_tra_m.000369",37.29,59,6e-04,42.7,"phaw_30_tra_m.000369"
"79","repo","phaw_30_tra_m.002258",68.97,29,4e-07,52,"phaw_30_tra_m.002258"
"80","repo","phaw_30_tra_m.015760",36.84,76,6e-07,52,"phaw_30_tra_m.015760"
