"","Query","Target","Percent_ID","Ali_len","E_val","bitscore","Hit_name_long"
"1","AAA59197.1_phaw_30_tra_m.006383","gi|282165772|ref|NP_001164127.1|",43.5,246,1e-47,164,"gi|282165772|ref|NP_001164127.1| Jun-related antigen [Tribolium castaneum]"
"2","AAA59197.1_phaw_30_tra_m.006383","gi|1022762142|gb|KZS07996.1|",39.52,291,8e-45,159,"gi|1022762142|gb|KZS07996.1| Transcription factor AP-1 [Daphnia magna]"
"3","AAA59197.1_phaw_30_tra_m.006383","gi|941133315|gb|JAL04385.1|",39.52,291,8e-45,159,"gi|941133315|gb|JAL04385.1| Transcription factor AP-1 [Daphnia magna]"
"4","AAA59197.1_phaw_30_tra_m.006383","gi|1004396798|gb|EFA09274.2|",45.16,217,2e-44,155,"gi|1004396798|gb|EFA09274.2| Jun-related antigen [Tribolium castaneum]"
"5","AAA59197.1_phaw_30_tra_m.006383","gi|321466065|gb|EFX77063.1|",39.53,296,4e-42,152,"gi|321466065|gb|EFX77063.1| hypothetical protein DAPPUDRAFT_306002 [Daphnia pulex]"
"6","AAA59197.1_phaw_30_tra_m.006383","gi|942255164|gb|JAN23868.1|",34.57,324,2e-40,148,"gi|942255164|gb|JAN23868.1| Transcription factor AP-1 [Daphnia magna]"
"7","AAA59197.1_phaw_30_tra_m.006383","gi|158295790|ref|XP_316420.4|",39.74,234,2e-39,145,"gi|158295790|ref|XP_316420.4| AGAP006386-PB [Anopheles gambiae str. PEST]"
"8","AAA59197.1_phaw_30_tra_m.006383","gi|157016206|gb|EAA10749.4|",39.74,234,2e-39,145,"gi|157016206|gb|EAA10749.4| AGAP006386-PB [Anopheles gambiae str. PEST]"
"9","AAA59197.1_phaw_30_tra_m.006383","gi|942392355|gb|JAN78107.1|",33.14,347,2e-39,146,"gi|942392355|gb|JAN78107.1| Transcription factor AP-1 [Daphnia magna]"
"10","AAA59197.1_phaw_30_tra_m.006383","gi|24652319|ref|NP_724882.1|",38.33,240,2e-36,136,"gi|24652319|ref|NP_724882.1| Jun-related antigen, isoform B [Drosophila melanogaster]"
"11","AAA59197.1_phaw_30_tra_m.006383","gi|21645521|gb|AAM71059.1|",38.33,240,2e-36,136,"gi|21645521|gb|AAM71059.1| Jun-related antigen, isoform B [Drosophila melanogaster]"
"12","AAA59197.1_phaw_30_tra_m.006383","gi|17136234|ref|NP_476586.1|",38.33,240,2e-36,136,"gi|17136234|ref|NP_476586.1| Jun-related antigen, isoform A [Drosophila melanogaster]"
"13","AAA59197.1_phaw_30_tra_m.006383","gi|16198021|gb|AAL13791.1|",38.33,240,2e-36,136,"gi|16198021|gb|AAL13791.1| LD25202p [Drosophila melanogaster]"
"14","AAA59197.1_phaw_30_tra_m.006383","gi|12644001|sp|P18289.2|JRA_DROME",38.33,240,2e-36,136,"gi|12644001|sp|P18289.2|JRA_DROME RecName: Full=Transcription factor AP-1; AltName: Full=Jun-related antigen; AltName: Full=dJRA; AltName: Full=dJun"
"15","AAA59197.1_phaw_30_tra_m.006383","gi|7303798|gb|AAF58845.1|",38.33,240,2e-36,136,"gi|7303798|gb|AAF58845.1| Jun-related antigen, isoform A [Drosophila melanogaster]"
"16","AAA59197.1_phaw_30_tra_m.006383","gi|2276227|emb|CAA73154.1|",37.92,240,8e-36,135,"gi|2276227|emb|CAA73154.1| Jun [Drosophila melanogaster]"
"17","AAA59197.1_phaw_30_tra_m.006383","gi|157774|gb|AAA28650.1|",37.92,240,8e-36,135,"gi|157774|gb|AAA28650.1| Djun gene product [Drosophila melanogaster]"
"18","AAA59197.1_phaw_30_tra_m.006383","gi|442623102|ref|NP_001260844.1|",38.33,240,8e-36,137,"gi|442623102|ref|NP_001260844.1| Jun-related antigen, isoform C [Drosophila melanogaster]"
"19","AAA59197.1_phaw_30_tra_m.006383","gi|440214245|gb|AGB93377.1|",38.33,240,8e-36,137,"gi|440214245|gb|AGB93377.1| Jun-related antigen, isoform C [Drosophila melanogaster]"
"20","AAA59197.1_phaw_30_tra_m.006383","gi|942183081|gb|JAN01023.1|",63,100,2e-33,130,"gi|942183081|gb|JAN01023.1| Transcription factor jun-D [Daphnia magna]"
"21","AAA59197.1_phaw_30_tra_m.006383","gi|942051607|gb|JAM80978.1|",45.86,181,2e-32,127,"gi|942051607|gb|JAM80978.1| Transcription factor AP-1 [Daphnia magna]"
"22","AAA59197.1_phaw_30_tra_m.006383","gi|942051607|gb|JAM80978.1|",40.54,74,1e-06,53.1,"gi|942051607|gb|JAM80978.1| Transcription factor AP-1 [Daphnia magna]"
"23","AAA59197.1_phaw_30_tra_m.006383","gi|158295788|ref|XP_001688864.1|",60,100,1e-31,125,"gi|158295788|ref|XP_001688864.1| AGAP006386-PA [Anopheles gambiae str. PEST]"
"24","AAA59197.1_phaw_30_tra_m.006383","gi|157016205|gb|EDO63870.1|",60,100,1e-31,125,"gi|157016205|gb|EDO63870.1| AGAP006386-PA [Anopheles gambiae str. PEST]"
"25","AAA59197.1_phaw_30_tra_m.006383","gi|941086939|gb|JAK84991.1|",37.01,254,9e-29,117,"gi|941086939|gb|JAK84991.1| Transcription factor AP-1 [Daphnia magna]"
"26","AAA59197.1_phaw_30_tra_m.006383","gi|941086939|gb|JAK84991.1|",71.79,78,1e-28,116,"gi|941086939|gb|JAK84991.1| Transcription factor AP-1 [Daphnia magna]"
"27","AAA59197.1_phaw_30_tra_m.006383","gi|941751787|gb|JAM66083.1|",44.16,77,2e-09,59.7,"gi|941751787|gb|JAM66083.1| putative Transcription factor jun-D, partial [Daphnia magna]"
"28","AAA59197.1_phaw_30_tra_m.006383","gi|940939593|gb|JAK28157.1|",30.23,129,1e-07,56.2,"gi|940939593|gb|JAK28157.1| Transcription factor AP-1 [Daphnia magna]"
"29","AAA59197.1_phaw_30_tra_m.006383","gi|939843808|gb|JAJ22300.1|",30,130,2e-07,55.1,"gi|939843808|gb|JAJ22300.1| Transcription factor AP-1, putative [Daphnia_magna]"
"30","AAA59197.1_phaw_30_tra_m.006383","gi|1008456318|ref|XP_015840201.1|",38.46,78,1e-04,47.4,"gi|1008456318|ref|XP_015840201.1| PREDICTED: cyclic AMP-responsive element-binding protein 1 isoform X4 [Tribolium castaneum]"
"31","AAA59197.1_phaw_30_tra_m.006383","gi|1008456333|ref|XP_015840208.1|",38.46,78,1e-04,46.6,"gi|1008456333|ref|XP_015840208.1| PREDICTED: cyclic AMP-responsive element-binding protein 1 isoform X11 [Tribolium castaneum]"
